id	parentId	type	text	options	target	signal
START	null	start	Good evening. Take a breath. This is not a performance review; it is a quiet look at how you showed up today.		A1_OPEN	
A1_OPEN	START	question	How would you describe today in one word?	Productive|Challenging|Mixed|Draining		
A1_D1	A1_OPEN	decision	Route based on the employee's overall day description.	answer=Productive|Mixed:A1_Q_AGENCY_HIGH;answer=Challenging|Draining:A1_Q_AGENCY_LOW		
A1_Q_AGENCY_HIGH	A1_D1	question	"You said ""{A1_OPEN.answer}"". When something went well today, what most likely made it happen?"	I prepared well|I adapted quickly|The team supported me|The situation just worked out		
A1_Q_AGENCY_LOW	A1_D1	question	"You said ""{A1_OPEN.answer}"". When things got hard today, what was your first move?"	I looked for what I could control|I pushed through alone|I waited for things to settle|I felt blocked and stuck		
A1_D2_HIGH	A1_Q_AGENCY_HIGH	decision	Separate active agency from circumstance-based explanations.	answer=I prepared well|I adapted quickly:A1_Q_CHOICE_INTERNAL;answer=The team supported me|The situation just worked out:A1_Q_CHOICE_EXTERNAL		
A1_D2_LOW	A1_Q_AGENCY_LOW	decision	Separate active response from passive or stuck response.	answer=I looked for what I could control|I pushed through alone:A1_Q_CHOICE_INTERNAL;answer=I waited for things to settle|I felt blocked and stuck:A1_Q_CHOICE_EXTERNAL		
A1_Q_CHOICE_INTERNAL	A1_D2_HIGH	question	Think of one decision you made today. What guided that choice?	What was right for the work|What would help the team|My own judgment and experience|What someone told me to do		axis1:internal
A1_Q_CHOICE_EXTERNAL	A1_D2_LOW	question	"Think of one frustrating moment. Looking back, was there a small move you could have made?"	"Yes, I see one now|Maybe, with more support|Probably not, it was out of my hands|I am not sure yet"		axis1:external
A1_D3_INTERNAL	A1_Q_CHOICE_INTERNAL	decision	Route to Axis 1 reflection based on degree of agency.	answer=What was right for the work|What would help the team|My own judgment and experience:A1_R_INTERNAL;answer=What someone told me to do:A1_R_MIXED		axis1:internal
A1_D3_EXTERNAL	A1_Q_CHOICE_EXTERNAL	decision	Route to Axis 1 reflection based on whether the person can now see a choice.	"answer=Yes, I see one now|Maybe, with more support:A1_R_MIXED;answer=Probably not, it was out of my hands|I am not sure yet:A1_R_EXTERNAL"		axis1:external
A1_R_INTERNAL	A1_D3_INTERNAL	reflection	"You connected your actions to the outcome today. That is agency: not controlling everything, but noticing where your response mattered."		BRIDGE_1_2_A	axis1:internal
A1_R_MIXED	A1_D3_INTERNAL	reflection	"You saw some agency today, even if it was not obvious in the moment. Sometimes control is just one small next move."		BRIDGE_1_2_B	axis1:mixed
A1_R_EXTERNAL	A1_D3_EXTERNAL	reflection	Today felt like something that happened to you. That is worth noticing without blame. The useful question is: where was even one small choice?		BRIDGE_1_2_C	axis1:external
BRIDGE_1_2_A	A1_R_INTERNAL	bridge	"Now that you have looked at how you handled the day, let us look at what you gave to the work and the people around you."		A2_OPEN	
BRIDGE_1_2_B	A1_R_MIXED	bridge	"Now let us shift from control to contribution: what did you give today, and what were you hoping to receive?"		A2_OPEN	
BRIDGE_1_2_C	A1_R_EXTERNAL	bridge	"After a difficult day, it is natural to notice what went wrong. Now let us look at what you gave, even in a small way."		A2_OPEN	
A2_OPEN	null	question	Think about one interaction you had today. What was your main focus in that moment?	Making sure they had what they needed|Getting what I needed from them|Being heard and understood|Getting through it quickly		
A2_D1	A2_OPEN	decision	Route based on contribution orientation versus expectation orientation.	answer=Making sure they had what they needed|Being heard and understood:A2_Q_CONTRIBUTION;answer=Getting what I needed from them|Getting through it quickly:A2_Q_ENTITLEMENT		
A2_Q_CONTRIBUTION	A2_D1	question	"When you helped, listened, or supported someone today, what was driving that?"	I noticed they needed help|It made the work better for everyone|It felt like the right thing to do|I wanted to be seen as helpful		axis2:contribution
A2_Q_ENTITLEMENT	A2_D1	question	"When you needed support, recognition, or a response today and did not get it, what went through your mind?"	I noticed the gap but moved on|I wondered what I could do differently|It felt unfair given my effort|I started thinking about who owed what		axis2:entitlement
A2_D2_CONTRIBUTION	A2_Q_CONTRIBUTION	decision	Separate genuine contribution from image-driven contribution.	answer=I noticed they needed help|It made the work better for everyone|It felt like the right thing to do:A2_Q_EXTRA_CONTRIBUTION;answer=I wanted to be seen as helpful:A2_R_MIXED		axis2:contribution
A2_D2_ENTITLEMENT	A2_Q_ENTITLEMENT	decision	Separate self-regulation from entitlement ledger thinking.	answer=I noticed the gap but moved on|I wondered what I could do differently:A2_R_MIXED;answer=It felt unfair given my effort|I started thinking about who owed what:A2_Q_EXTRA_ENTITLEMENT		axis2:entitlement
A2_Q_EXTRA_CONTRIBUTION	A2_D2_CONTRIBUTION	question	Was there a moment today where you did something beyond your formal responsibility?	"Yes, and it felt natural|Yes, but I felt a little resentful|No, I stayed in my lane|No, but I wish I had stepped in"		axis2:contribution
A2_Q_EXTRA_ENTITLEMENT	A2_D2_ENTITLEMENT	question	"When you compare what you gave today with what you received, how does it feel?"	Balanced enough|I gave more than I got|I got what I needed|I am not sure I contributed as much as I could have		axis2:entitlement
A2_D3_CONTRIBUTION	A2_Q_EXTRA_CONTRIBUTION	decision	Route to Axis 2 reflection after extra contribution question.	"answer=Yes, and it felt natural|Yes, but I felt a little resentful:A2_R_CONTRIBUTION;answer=No, I stayed in my lane|No, but I wish I had stepped in:A2_R_MIXED"		axis2:contribution
A2_D3_ENTITLEMENT	A2_Q_EXTRA_ENTITLEMENT	decision	Route to Axis 2 reflection after entitlement-balance question.	answer=Balanced enough|I am not sure I contributed as much as I could have:A2_R_MIXED;answer=I gave more than I got|I got what I needed:A2_R_ENTITLEMENT		axis2:entitlement
